ticket_id,device_brand,device_model,issue_category,intake_date,finish_date,repair_status,technician_name,parts_cost,labor_cost,payment_method,warranty_provided
18,Lava,Lava Z61,Maintenance,2025-08-23,,Diagnosing,Roseanne Piddlesden,,2371,,False
19,Motorola,Motorola MOTO XT882,Troubleshooting,2025-12-30,,Received,Roseanne Piddlesden,12834.0,1233,,False
20,Philips,Philips 191,Hardware Failure,2026-01-06,,Diagnosing,Abran Scrimshire,,2721,,False
21,Celkon,Celkon C44,Diagnostic,2025-07-21,2025-07-23,Completed,Rollin Wherry,4079.0,2321,,False
22,Huawei,Huawei G6600 Passport,Environmental Damage,2025-11-02,,Waiting on Parts,Tedda Bewlie,4905.0,2915,,False
23,Nokia,Nokia 6060,Environmental Damage,2025-05-10,2025-05-12,Completed,Walsh Bartolomeotti,1965.0,540,Debit Card,False
24,ZTE,ZTE Blade II V880+,Troubleshooting,2026-01-29,,Repairing,Walsh Bartolomeotti,9752.0,987,,False
25,Palm,Palm Centro,Maintenance,2026-04-29,2026-05-05,Unrepairable,Chrissy Rudsdell,0.0,735,,True
26,Samsung,Samsung B500,Environmental Damage,2025-08-16,,Diagnosing,Roseanne Piddlesden,9435.0,1309,,False
27,LG,LG KT520,Environmental Damage,2026-03-25,,Repairing,Tessa Lumbley,714.0,569,,True
28,Realme,Realme C3,Maintenance,2026-03-20,,Repairing,Osbourne O'Connolly,12223.0,1510,,True
29,Philips,Philips Ozeo,Diagnostic,2026-03-02,,Diagnosing,Jessi Trinder,17743.0,2216,,True
30,LG,LG A100,Software Issue,2025-07-20,,Diagnosing,Chrissy Rudsdell,0.0,1124,,False
31,Honor,Honor Play4 Pro,Diagnostic,2025-11-04,,Repairing,Selene Clace,,2565,,True
32,Samsung,Samsung Droid Charge I510,Hardware Failure,2025-08-01,2025-08-10,Unrepairable,Opalina Jeannesson,0.0,648,,False
33,Samsung,Samsung Galaxy S II LTE i727R,Troubleshooting,2026-01-17,,Repairing,Selene Clace,11361.0,1197,,True
34,Realme,Realme 5i,Maintenance,2025-05-07,,Diagnosing,Juliana Cleminson,1697.0,1674,,False
35,Coolpad,Coolpad Cool 2,Software Issue,2026-01-23,,Diagnosing,Katha Buttner,0.0,2953,,True
36,i-mate,i-mate SPJAS,Diagnostic,2025-06-30,,Repairing,Idalia Coomer,9109.0,1116,,False
37,Lava,Lava Iris Atom,Environmental Damage,2025-07-03,2025-07-13,Unrepairable,Juliana Cleminson,0.0,570,,False
38,Nokia,Nokia 5235 Comes With Music,Troubleshooting,2025-12-27,,Repairing,Opalina Jeannesson,16977.0,1952,,False
39,Chea,Chea 198,Troubleshooting,2025-05-20,2025-05-26,Ready for Pickup,Tessy Blei,18885.0,2274,PayPal,False
40,alcatel,alcatel 1x,Troubleshooting,2026-03-06,,Diagnosing,Tessa Lumbley,3999.0,736,,True
41,Motorola,Motorola W270,Software Issue,2025-08-14,2025-08-27,Completed,Walsh Bartolomeotti,0.0,1440,GCash,False
42,Fairphone,Fairphone 3+,Diagnostic,2026-04-18,,Repairing,Selene Clace,12362.0,1952,,False
43,Motorola,Motorola DROID X ME811,Troubleshooting,2025-05-11,2025-05-13,Ready for Pickup,Roseanne Piddlesden,4540.0,534,,True
44,Acer,Acer Liquid Gallant Duo,Software Issue,2025-11-05,,Received,Florance Cartmill,0.0,1172,,False
45,Xiaomi,Xiaomi Mi A2 (Mi 6X),Diagnostic,2026-01-30,2026-02-08,Ready for Pickup,Walsh Bartolomeotti,19595.0,2667,PayPal,False
46,Infinix,Infinix Zero 8,Software Issue,2026-03-13,,Waiting on Parts,Osbourne O'Connolly,0.0,1444,,True
47,Motorola,Motorola Moto Z Play,Maintenance,2025-08-21,2025-08-31,Unrepairable,Idalia Coomer,0.0,406,,False
48,O2,O2 X4,Diagnostic,2025-09-14,,Diagnosing,Abran Scrimshire,2180.0,859,,True
49,Motorola,Motorola StarTAC Rainbow,Hardware Failure,2026-01-19,,Repairing,Katha Buttner,11829.0,1151,,True
50,Siemens,Siemens M35i,Troubleshooting,2025-10-21,,Received,Juliana Cleminson,11278.0,2846,,True
51,NEC,NEC e101,Maintenance,2025-10-29,,Diagnosing,Florance Cartmill,6088.0,1059,,True
52,verykool,verykool s5036 Apollo,Troubleshooting,2025-06-12,,Waiting on Parts,Katha Buttner,16451.0,971,,False
53,Amoi,Amoi S6,Hardware Failure,2025-11-15,,Repairing,Tessy Blei,1222.0,951,,True
54,LG,LG KB770,Software Issue,2025-06-30,,Diagnosing,Dylan Cornwell,0.0,1416,,True
55,Sewon,Sewon SG-2320CD,Diagnostic,2026-03-03,2026-03-08,Unrepairable,Rollin Wherry,0.0,371,,True
56,Samsung,Samsung E1260B,Troubleshooting,2025-12-23,,Repairing,Katha Buttner,1629.0,1046,,True
57,Micromax,Micromax Canvas Unite 4,Environmental Damage,2026-01-14,,Received,,9544.0,1264,,False
58,BLU,BLU Samba Elite,Maintenance,2025-12-22,,Waiting on Parts,Roseanne Piddlesden,3806.0,902,,True
59,Sony,Sony Xperia go,Hardware Failure,2025-05-03,,Received,,5827.0,2423,,True
60,Kyocera,Kyocera Brio,Diagnostic,2025-09-03,2025-09-10,Completed,Rollin Wherry,18129.0,2363,Cash,False
61,Asus,Asus Transformer Pad TF300TG,Diagnostic,2025-05-20,2025-05-22,Ready for Pickup,Katha Buttner,9911.0,1365,Credit Card,True
62,Spice,Spice Mi-422 Smartflo Pace,Environmental Damage,2025-09-12,2025-09-13,Unrepairable,Idalia Coomer,0.0,488,,False
63,Infinix,Infinix Smart3 Plus,Hardware Failure,2025-07-04,,Received,Tedda Bewlie,15056.0,816,,False
64,Allview,Allview V2 Viper X,Hardware Failure,2025-09-17,,Received,,,2304,,True
65,verykool,verykool RS90,Environmental Damage,2025-08-04,,Waiting on Parts,Florance Cartmill,12622.0,684,,False
66,Panasonic,Panasonic Eluga A3,Troubleshooting,2026-04-09,2026-04-11,Ready for Pickup,Idalia Coomer,,1132,Credit Card,False
67,LG,LG T5100,Maintenance,2025-11-13,,Diagnosing,Florance Cartmill,8145.0,1995,,False
68,LG,LG GX200,Troubleshooting,2026-01-23,,Received,Tedda Bewlie,5093.0,1366,,True
69,Qtek,Qtek 1010,Troubleshooting,2026-04-05,,Waiting on Parts,Calhoun Taye,435.0,2330,,True
70,Nokia,Nokia Lumia 900 AT&T,Troubleshooting,2026-01-22,,Waiting on Parts,Juliana Cleminson,2639.0,1544,,True
71,Samsung,Samsung X450,Diagnostic,2026-03-18,2026-03-24,Unrepairable,Walsh Bartolomeotti,0.0,320,,False
72,Lenovo,Lenovo A516,Troubleshooting,2026-04-23,,Waiting on Parts,Calhoun Taye,10541.0,2432,,False
73,Xiaomi,Xiaomi Redmi 2A,Environmental Damage,2025-10-08,2025-10-10,Completed,Opalina Jeannesson,11172.0,2078,Debit Card,True
74,Unnecto,Unnecto Drone X,Software Issue,2025-11-11,,Waiting on Parts,Walsh Bartolomeotti,0.0,826,,True
75,HTC,HTC Desire S,Maintenance,2025-09-11,,Received,,7194.0,1511,,False
76,alcatel,alcatel OT-806,Hardware Failure,2026-03-31,,Received,,9910.0,1273,,True
77,Apple,Apple iPad Wi-Fi + 3G,Diagnostic,2026-01-30,,Received,,7775.0,2813,,True
78,alcatel,alcatel 1s,Diagnostic,2026-03-18,,Diagnosing,Opalina Jeannesson,,2515,,True
79,BLU,BLU Life One X,Software Issue,2026-04-18,,Repairing,Lorilyn Lofty,0.0,2575,,True
80,Infinix,Infinix Hot 5 Lite,Maintenance,2026-01-10,,Repairing,Roseanne Piddlesden,,2105,,True
81,BenQ-Siemens,BenQ-Siemens EF71,Environmental Damage,2025-10-27,,Waiting on Parts,Florance Cartmill,2458.0,1206,,False
82,Nokia,Nokia 6131 NFC,Diagnostic,2025-08-16,,Waiting on Parts,Randal O'Conor,12257.0,1064,,True
83,alcatel,alcatel OT-203,Software Issue,2026-04-02,,Waiting on Parts,Chrissy Rudsdell,0.0,785,,False
84,Oppo,Oppo R11s Plus,Diagnostic,2026-03-04,,Repairing,Abran Scrimshire,1475.0,1390,,True
85,Acer,Acer Iconia Tab A500,Software Issue,2026-02-24,,Received,,0.0,2146,,False
86,Xiaomi,Xiaomi Redmi 5,Environmental Damage,2025-11-28,2025-12-04,Unrepairable,Osbourne O'Connolly,0.0,402,,False
87,Samsung,Samsung Star Deluxe Duos S5292,Environmental Damage,2025-07-31,2025-08-05,Ready for Pickup,Osbourne O'Connolly,13885.0,2092,,False
88,BlackBerry,BlackBerry 6720,Diagnostic,2025-05-29,,Waiting on Parts,Lorilyn Lofty,9433.0,2979,,False
89,ZTE,ZTE nubia Z11 Max,Environmental Damage,2025-08-27,,Received,Jessi Trinder,837.0,2037,,True
90,Lenovo,Lenovo S650,Diagnostic,2025-10-27,,Waiting on Parts,Rollin Wherry,14442.0,1368,,False
91,Energizer,Energizer Power Max P16K Pro,Troubleshooting,2026-02-01,,Repairing,Selene Clace,6549.0,2247,,False
92,LG,LG C900 Optimus 7Q ,Environmental Damage,2025-11-11,,Waiting on Parts,Opalina Jeannesson,4978.0,1350,,True
93,Honor,Honor Play 3e,Diagnostic,2025-07-09,2025-07-11,Completed,Selene Clace,17274.0,1247,PayPal,False
94,Motorola,Motorola StarTAC 130,Maintenance,2026-04-20,,Waiting on Parts,Opalina Jeannesson,725.0,1095,,False
95,LG,LG U880,Diagnostic,2025-12-06,,Repairing,Florance Cartmill,8306.0,2124,,True
96,Acer,Acer Liquid Z530,Hardware Failure,2026-04-01,,Received,Roseanne Piddlesden,16166.0,591,,False
97,Eten,Eten glofiish M800,Maintenance,2025-09-05,2025-09-13,Unrepairable,Tessy Blei,0.0,421,,True
98,Maxon,Maxon MX-6899,Maintenance,2025-07-28,2025-08-01,Ready for Pickup,Lorilyn Lofty,,1620,,False
99,Nokia,Nokia E61,Maintenance,2026-04-13,,Diagnosing,Tedda Bewlie,,2607,,False
100,ZTE,ZTE N290,Maintenance,2026-03-13,2026-03-14,Ready for Pickup,Jessi Trinder,13217.0,2251,,False
101,Wiko,Wiko Lenny3,Software Issue,2026-03-22,,Repairing,Osbourne O'Connolly,0.0,2481,,True
102,Huawei,Huawei MatePad 10.8,Maintenance,2025-10-17,,Diagnosing,Roseanne Piddlesden,13697.0,1395,,False
103,ZTE,ZTE Grand S Flex,Troubleshooting,2025-10-31,,Received,,17474.0,2093,,True
104,Apple,Apple iPad Pro 9.7 (2016),Hardware Failure,2025-08-28,2025-09-03,Ready for Pickup,Osbourne O'Connolly,15741.0,2077,Cash,False
105,Nokia,Nokia 6060,Hardware Failure,2025-09-27,,Diagnosing,Lorilyn Lofty,19093.0,1566,,False
106,Apple,Apple iPhone 8 Plus,Environmental Damage,2025-09-22,2025-09-28,Ready for Pickup,Osbourne O'Connolly,1727.0,1091,Maya,False
107,Motorola,Motorola MILESTONE 2,Environmental Damage,2025-11-05,,Diagnosing,Jessi Trinder,3153.0,1013,,True
108,Sendo,Sendo S360,Environmental Damage,2026-01-29,2026-02-09,Unrepairable,Walsh Bartolomeotti,0.0,766,,True
109,Philips,Philips 350,Environmental Damage,2026-03-17,,Repairing,Idalia Coomer,14849.0,558,,True
110,Spice,Spice Stellar 361 (Mi-361),Maintenance,2025-06-15,2025-06-20,Unrepairable,Osbourne O'Connolly,0.0,514,,True
111,Samsung,Samsung C5220,Hardware Failure,2026-04-29,,Received,,16640.0,2657,,False
112,Lenovo,Lenovo Vibe K5 Plus,Diagnostic,2025-09-26,2025-10-03,Ready for Pickup,Jessi Trinder,12547.0,1709,,True
113,NEC,NEC N900,Troubleshooting,2026-03-25,2026-03-29,Unrepairable,Idalia Coomer,0.0,630,,False
114,Celkon,Celkon C17,Environmental Damage,2025-05-15,,Received,Selene Clace,15940.0,2651,,True
115,Apple,Apple iPad Air (2020),Hardware Failure,2025-05-16,,Received,,13509.0,2818,,False
116,verykool,verykool T7445,Environmental Damage,2026-01-19,,Waiting on Parts,Walsh Bartolomeotti,4886.0,927,,False
117,Amoi,Amoi A310,Maintenance,2025-08-12,,Waiting on Parts,Walsh Bartolomeotti,13749.0,678,,True
118,Toshiba,Toshiba Excite 13 AT335,Software Issue,2026-03-08,,Repairing,Rollin Wherry,0.0,2067,,True
119,Vertu,Vertu Ascent,Troubleshooting,2025-10-28,2025-11-05,Unrepairable,Calhoun Taye,0.0,758,,False
120,BlackBerry,BlackBerry Passport,Maintenance,2025-07-03,2025-07-14,Ready for Pickup,Chrissy Rudsdell,15208.0,2147,Cash,False
121,Sony,Sony CMD J70,Diagnostic,2026-01-04,,Repairing,Selene Clace,15560.0,1751,,True
122,Nokia,Nokia 500,Maintenance,2025-08-10,2025-08-15,Ready for Pickup,Abran Scrimshire,13832.0,2820,GCash,False
123,Vodafone,Vodafone 540,Environmental Damage,2025-07-16,,Waiting on Parts,Tessa Lumbley,7516.0,2961,,False
124,Acer,Acer Iconia One 7 B1-730,Software Issue,2025-07-17,,Received,,0.0,1909,,False
125,Karbonn,Karbonn S7 Titanium,Maintenance,2026-03-30,,Diagnosing,Jessi Trinder,982.0,2285,,False
126,vivo,vivo iQOO 3 5G,Troubleshooting,2025-09-26,2025-10-06,Ready for Pickup,Selene Clace,13881.0,869,Debit Card,True
127,Huawei,Huawei G7005,Hardware Failure,2025-09-14,,Diagnosing,Calhoun Taye,9867.0,1028,,True
128,vivo,vivo Y20s,Diagnostic,2025-12-17,,Repairing,Walsh Bartolomeotti,1199.0,2014,,True
129,Bird,Bird A130,Environmental Damage,2025-06-14,2025-06-24,Ready for Pickup,Randal O'Conor,,1453,Credit Card,True
130,Huawei,Huawei Mate 40,Software Issue,2025-08-10,2025-08-12,Completed,Katha Buttner,0.0,547,Credit Card,True
131,Samsung,Samsung E200 ECO,Maintenance,2025-08-26,2025-09-03,Completed,Calhoun Taye,16773.0,1794,,True
132,Motorola,Motorola Moto 360 Sport (1st gen),Software Issue,2026-02-02,,Waiting on Parts,Selene Clace,0.0,954,,True
133,Samsung,Samsung Rex 60 C3312R,Software Issue,2025-12-09,,Diagnosing,Chrissy Rudsdell,0.0,805,,True
134,Panasonic,Panasonic VS7,Maintenance,2025-08-16,,Waiting on Parts,Tessy Blei,9437.0,756,,True
135,Samsung,Samsung I8200 Galaxy S III mini VE,Diagnostic,2026-02-06,2026-02-14,Completed,Rollin Wherry,13488.0,2402,Cash,False
136,alcatel,alcatel OT-E159,Environmental Damage,2025-12-13,,Received,Calhoun Taye,6379.0,550,,True
137,Maxwest,Maxwest Nitro Phablet 71,Software Issue,2025-09-28,2025-10-09,Completed,Dylan Cornwell,0.0,1149,Maya,False
138,Motorola,Motorola Moto E,Hardware Failure,2025-05-18,,Received,Roseanne Piddlesden,,856,,False
139,Honor,Honor Watch ES,Software Issue,2025-08-27,,Repairing,Roseanne Piddlesden,0.0,2828,,False
140,NIU,NIU Andy 5EI,Software Issue,2025-09-21,2025-09-28,Completed,Tessa Lumbley,0.0,2170,Cash,False
141,Vodafone,Vodafone 716,Troubleshooting,2025-09-16,2025-09-20,Completed,Randal O'Conor,10497.0,1785,PayPal,False
142,Sharp,Sharp 902,Hardware Failure,2026-03-06,,Diagnosing,Selene Clace,5016.0,597,,False
143,Nokia,Nokia E50,Diagnostic,2026-01-09,,Diagnosing,Lorilyn Lofty,16391.0,1773,,True
144,Lenovo,Lenovo A789,Maintenance,2026-03-22,,Waiting on Parts,Lorilyn Lofty,12212.0,2789,,True
145,Samsung,Samsung T819,Troubleshooting,2025-12-07,,Waiting on Parts,Tessa Lumbley,19990.0,2151,,True
146,verykool,verykool i129,Maintenance,2025-09-17,2025-09-27,Ready for Pickup,Calhoun Taye,18184.0,1907,Debit Card,False
147,Samsung,Samsung Galaxy S5 Active,Environmental Damage,2025-04-30,2025-05-09,Unrepairable,Opalina Jeannesson,0.0,387,,True
148,LG,LG U890,Software Issue,2025-06-26,,Repairing,Osbourne O'Connolly,0.0,863,,False
149,ZTE,ZTE Blade A910,Maintenance,2025-05-19,2025-05-28,Completed,Selene Clace,15801.0,1663,Credit Card,False
150,Micromax,Micromax Bolt D303,Hardware Failure,2025-05-15,,Received,,14451.0,1258,,False
151,verykool,verykool s5526 Alpha,Environmental Damage,2025-06-10,2025-06-23,Completed,Florance Cartmill,4793.0,2839,Maya,True
152,Lenovo,Lenovo A830,Maintenance,2025-11-24,,Diagnosing,Opalina Jeannesson,13121.0,713,,True
153,Maxon,Maxon MX-C90,Diagnostic,2026-01-01,,Repairing,Jessi Trinder,11749.0,2901,,False
154,verykool,verykool i610,Maintenance,2025-12-04,2025-12-08,Unrepairable,Lorilyn Lofty,0.0,672,,True
155,Motorola,Motorola V191,Troubleshooting,2025-07-19,,Repairing,Chrissy Rudsdell,1614.0,2576,,True
156,Micromax,Micromax A105 Canvas Entice,Maintenance,2025-11-25,,Received,,2685.0,2732,,False
157,LG,LG KP215,Troubleshooting,2025-12-02,,Diagnosing,Roseanne Piddlesden,19944.0,1057,,True
158,Nokia,Nokia 6220,Hardware Failure,2025-08-16,,Received,,10284.0,1043,,True
159,Samsung,Samsung I9103 Galaxy R,Troubleshooting,2025-12-29,,Received,,14203.0,2145,,True
160,vivo,vivo Xplay7,Hardware Failure,2026-04-22,,Diagnosing,Tessa Lumbley,11506.0,686,,False
161,Nokia,Nokia 1101,Diagnostic,2025-12-29,,Received,,14241.0,2480,,False
162,Amazon,Amazon Fire HD 8 Plus (2020),Diagnostic,2026-01-05,2026-01-08,Unrepairable,Abran Scrimshire,0.0,399,,True
163,Maxwest,Maxwest Vice,Software Issue,2025-11-26,2025-11-30,Ready for Pickup,Tessa Lumbley,0.0,2474,,False
164,Samsung,Samsung Galaxy Note20 Ultra,Hardware Failure,2025-05-03,2025-05-12,Completed,Roseanne Piddlesden,12121.0,1532,Credit Card,False
165,Samsung,Samsung C260,Diagnostic,2026-03-31,2026-04-03,Ready for Pickup,Selene Clace,3835.0,851,Maya,True
166,Samsung,Samsung Galaxy Nexus LTE L700,Environmental Damage,2026-03-15,2026-03-17,Ready for Pickup,Tessy Blei,13110.0,2519,PayPal,False
167,Huawei,Huawei Y6s (2019),Software Issue,2025-05-30,,Received,,0.0,671,,True
168,Sony,Sony Xperia E3 Dual,Environmental Damage,2025-07-09,,Received,,14131.0,2710,,True
169,Realme,Realme 6i,Diagnostic,2026-02-14,,Received,Jessi Trinder,18100.0,1970,,False
170,Samsung,Samsung R860 Caliber,Troubleshooting,2025-06-07,,Diagnosing,Abran Scrimshire,5017.0,760,,False
171,Nokia,Nokia 106 (2018),Environmental Damage,2026-03-23,,Repairing,Abran Scrimshire,12996.0,1283,,False
172,Sony,Sony Xperia E4 Dual,Hardware Failure,2025-08-27,,Repairing,Abran Scrimshire,6998.0,963,,True
173,Wiko,Wiko Pulp Fab 4G,Troubleshooting,2025-11-11,2025-11-17,Ready for Pickup,Tessy Blei,709.0,2575,,True
174,Samsung,Samsung Galaxy Reverb M950,Software Issue,2025-05-10,2025-05-24,Completed,Tessy Blei,0.0,2645,GCash,False
175,alcatel,alcatel One Touch Tab 7,Environmental Damage,2026-01-23,,Waiting on Parts,Jessi Trinder,9134.0,1781,,True
176,Pantech,Pantech Marauder,Software Issue,2025-06-09,,Received,,0.0,2739,,False
177,Motorola,Motorola One Fusion+,Software Issue,2025-07-09,,Repairing,Lorilyn Lofty,0.0,1895,,True
178,Huawei,Huawei Enjoy 20 Pro,Maintenance,2025-09-02,2025-09-11,Unrepairable,Chrissy Rudsdell,0.0,659,,True
179,Motorola,Motorola MPx200,Environmental Damage,2025-07-15,2025-07-17,Completed,Tessy Blei,,723,Maya,True
180,YU,YU Yureka Plus,Software Issue,2025-09-17,,Received,,0.0,2355,,True
181,alcatel,alcatel Pop Up,Software Issue,2025-06-21,,Diagnosing,Dylan Cornwell,0.0,2128,,False
182,Asus,Asus Zenfone 4 Max ZC554KL,Environmental Damage,2025-09-20,2025-09-30,Unrepairable,Katha Buttner,0.0,451,,False
183,LG,LG KG270,Environmental Damage,2025-08-20,2025-08-24,Completed,Randal O'Conor,4726.0,1967,,False
184,Lenovo,Lenovo K5 Note,Environmental Damage,2025-11-16,2025-11-19,Ready for Pickup,Abran Scrimshire,,1373,Maya,True
185,Samsung,Samsung Galaxy Tab A 8.0 & S Pen (2015),Hardware Failure,2026-03-10,2026-03-24,Completed,Dylan Cornwell,2704.0,2182,Credit Card,False
186,BLU,BLU G90,Hardware Failure,2025-09-18,,Received,Jessi Trinder,16321.0,2603,,True
187,Philips,Philips T939,Hardware Failure,2025-05-28,2025-06-03,Ready for Pickup,Tessa Lumbley,2944.0,706,Cash,False
188,Samsung,Samsung P7500 Galaxy Tab 10.1 3G,Software Issue,2026-01-08,,Repairing,Tessy Blei,0.0,723,,True
189,TCL,TCL 10 TabMid,Diagnostic,2025-07-06,,Diagnosing,Dylan Cornwell,12927.0,1057,,True
190,LG,LG KU990 Viewty,Environmental Damage,2025-07-02,,Diagnosing,Randal O'Conor,9040.0,2128,,False
191,Micromax,Micromax A120 Canvas 2 Colors,Software Issue,2025-06-26,,Received,,0.0,959,,False
192,Nokia,Nokia C1-02,Troubleshooting,2025-09-16,,Waiting on Parts,Tedda Bewlie,15689.0,2020,,False
193,vivo,vivo Y51a,Diagnostic,2025-12-13,,Received,,18328.0,711,,False
194,LG,LG Vu Plus,Hardware Failure,2025-12-06,2025-12-08,Ready for Pickup,Opalina Jeannesson,1259.0,2363,,False
195,Celkon,Celkon C999,Environmental Damage,2025-09-17,2025-09-22,Completed,Dylan Cornwell,17390.0,534,GCash,True
196,Orange,Orange Reyo,Hardware Failure,2026-04-05,,Received,,10937.0,2908,,True
197,Gigabyte,Gigabyte GSmart i,Maintenance,2025-10-21,2025-10-24,Ready for Pickup,Osbourne O'Connolly,11275.0,2449,Credit Card,True
198,Gionee,Gionee F103 Pro,Troubleshooting,2025-05-06,,Repairing,Tessa Lumbley,12722.0,2842,,False
199,Micromax,Micromax A119 Canvas XL,Troubleshooting,2026-04-23,2026-05-03,Completed,Katha Buttner,,2950,,False
200,Celkon,Celkon AR40,Troubleshooting,2026-04-27,,Diagnosing,Chrissy Rudsdell,5601.0,1440,,True
201,Samsung,Samsung Galaxy Tab S7+,Diagnostic,2025-07-02,,Waiting on Parts,Osbourne O'Connolly,2644.0,1476,,False
202,Energizer,Energizer Power Max P18K Pop,Diagnostic,2025-06-06,,Received,,2000.0,1486,,True
203,vivo,vivo X7,Maintenance,2025-09-17,2025-09-30,Unrepairable,Tessa Lumbley,0.0,430,,True
204,HTC,HTC One XC,Software Issue,2025-12-26,,Repairing,Selene Clace,0.0,2310,,True
205,Sony,Sony Ericsson K800,Troubleshooting,2025-06-07,2025-06-14,Ready for Pickup,Tessa Lumbley,12150.0,1973,Maya,True
206,BLU,BLU G9,Hardware Failure,2026-03-23,,Received,Opalina Jeannesson,8169.0,1636,,False
207,Celkon,Celkon C67+,Maintenance,2025-07-18,,Repairing,Lorilyn Lofty,4217.0,2152,,False
208,Sony,Sony Xperia Pro,Software Issue,2025-05-28,2025-05-31,Unrepairable,Florance Cartmill,0.0,449,,False
209,Huawei,Huawei Ascend W1,Environmental Damage,2025-11-30,,Diagnosing,Selene Clace,2448.0,1288,,False
210,Samsung,Samsung S501i,Diagnostic,2026-01-09,,Received,Juliana Cleminson,16072.0,2467,,False
211,Asus,Asus Transformer Pad Infinity 700 LTE,Troubleshooting,2026-01-03,,Waiting on Parts,Florance Cartmill,,2358,,False
212,HTC,HTC Windows Phone 8X CDMA,Diagnostic,2025-12-14,2025-12-21,Completed,Lorilyn Lofty,7477.0,2042,Cash,True
213,LG,LG A350,Troubleshooting,2025-05-27,2025-06-10,Ready for Pickup,Randal O'Conor,13308.0,810,Debit Card,True
214,Sony,Sony Ericsson W610,Maintenance,2025-07-27,,Diagnosing,Juliana Cleminson,13901.0,802,,False
215,Celkon,Celkon A1,Environmental Damage,2025-09-19,2025-09-30,Unrepairable,Rollin Wherry,0.0,608,,False
216,Samsung,Samsung F330,Diagnostic,2026-02-02,2026-02-11,Completed,Osbourne O'Connolly,11269.0,2441,Maya,False
217,Sony,Sony Ericsson Z1010,Software Issue,2025-08-01,,Waiting on Parts,Selene Clace,0.0,2704,,True
218,Siemens,Siemens M50,Hardware Failure,2026-03-27,,Received,,,1667,,True
219,Sony,Sony Xperia M2 Aqua,Software Issue,2025-05-10,,Waiting on Parts,Tedda Bewlie,0.0,754,,False
220,Plum,Plum Flipper (2018),Maintenance,2026-01-18,2026-01-29,Ready for Pickup,Tessa Lumbley,17946.0,2474,Debit Card,False
221,O2,O2 XDA Guide,Troubleshooting,2025-09-12,2025-09-14,Ready for Pickup,Abran Scrimshire,4539.0,2366,GCash,False
222,Honor,Honor 5c,Hardware Failure,2025-12-06,,Received,,12083.0,1155,,True
223,Apple,Apple Watch Edition Series 5,Environmental Damage,2026-03-21,,Repairing,Lorilyn Lofty,18772.0,1960,,False
224,Fairphone,Fairphone 3+,Environmental Damage,2026-03-10,2026-03-22,Completed,Tedda Bewlie,6757.0,2058,,True
225,Samsung,Samsung Galaxy Xcover Pro,Diagnostic,2026-02-05,,Diagnosing,Roseanne Piddlesden,11467.0,1558,,False
226,Sagem,Sagem my700X,Environmental Damage,2025-09-27,2025-10-11,Unrepairable,Jessi Trinder,0.0,557,,False
227,Lenovo,Lenovo S560,Diagnostic,2025-12-25,2025-12-30,Ready for Pickup,Jessi Trinder,7026.0,2467,PayPal,False
228,alcatel,alcatel OT-E259,Diagnostic,2025-09-01,2025-09-05,Ready for Pickup,Opalina Jeannesson,6255.0,726,PayPal,False
